dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
synthea,pilot50-condition-001__patient_utterance,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-002__patient_utterance,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-005__patient_utterance,keep,keep,keep,no,Disagreement on flag_type none vs style_uncertainty.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-006__patient_utterance,keep,keep,keep,no,Disagreement on naturalness 5 vs 4.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-007__patient_utterance,keep,keep,keep,no,Disagreement on naturalness 5 vs 4.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-008__patient_utterance,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-009__patient_utterance,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,pilot50-condition-010__patient_utterance,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-001__concise_clinical,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-001__semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 3.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-002__concise_clinical,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-002__semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 3.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-003__concise_clinical,keep,keep,keep,no,No disagreement detected.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
synthea,remaining70-patient-003__semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 3.,use_now,keep,Synthea policy: agreed clean row is ready for immediate formal training use. Final decision carried from merged_decision=keep.
