pair_id,dataset_name,candidate_id,source_dataset,source_table,resource_type,input_style,demo_only,source_status,review_status,notes,Gemini3.1Pro_faithfulness,Gemini3.1Pro_unsupported_fact,Gemini3.1Pro_omission,Gemini3.1Pro_naturalness,Gemini3.1Pro_context_leakage,Gemini3.1Pro_short_rationale,Gemini3.1Pro_flag_type,Gork4.20_faithfulness,Gork4.20_unsupported_fact,Gork4.20_omission,Gork4.20_naturalness,Gork4.20_context_leakage,Gork4.20_short_rationale,Gork4.20_flag_type,Sonnet4.6_faithfulness,Sonnet4.6_unsupported_fact,Sonnet4.6_omission,Sonnet4.6_naturalness,Sonnet4.6_context_leakage,Sonnet4.6_short_rationale,Sonnet4.6_flag_type,spot_check_reviewer_1,spot_check_decision_1,spot_check_comments_1,spot_check_reviewer_2,spot_check_decision_2,spot_check_comments_2,reviewer_1_name,reviewer_2_name,reviewer_1_faithfulness,reviewer_2_faithfulness,reviewer_1_unsupported_fact,reviewer_2_unsupported_fact,reviewer_1_omission,reviewer_2_omission,reviewer_1_context_leakage,reviewer_2_context_leakage,reviewer_1_naturalness,reviewer_2_naturalness,reviewer_1_flag_type,reviewer_2_flag_type,reviewer_1_decision,reviewer_2_decision,reviewer_1_comments,reviewer_2_comments,binary_disagreement_count,decision_disagreement,disposition_only_disagreement,merged_decision,adjudication_needed,disagreement_summary,final_decision,final_notes
demo-mimic-eicu-pair-0001,MIMIC/eICU demo,eicu-obs-0001,eICU-CRD (demo-equivalent),lab,Observation,concise_clinical,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,4,0,Input shorthand accurately maps to Glucose value and unit in FHIR Observation,none,1,0,0,4,0,Input 'glucose 188 mg/dL' maps correctly to Glucose/188/mg/dL in the target. Standard clinical shorthand; all core values captured. No extra facts introduced.,none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,4,none,none,keep,keep,Concise clinical shorthand is natural; input and FHIR target are fully aligned with no issues.,Concise 'glucose 188 mg/dL' correctly maps to Glucose/188/mg/dL in target. Value and unit exact. Standard clinical shorthand. All core information captured.,0,no,False,keep,no,Disagreement on naturalness 5 vs 4.,,
demo-mimic-eicu-pair-0002,MIMIC/eICU demo,eicu-obs-0001,eICU-CRD (demo-equivalent),lab,Observation,semi_structured,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,5,0,Labeled semi-structured input perfectly aligns with FHIR Glucose Observation,none,1,0,0,5,0,"Structured 'Glucose: 188 mg/dL' maps exactly to the target. Label, value, and unit are fully aligned. Clean semi-structured form.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,5,none,none,keep,keep,Semi-structured label is clear; core information matches target exactly; no hallucinations or leakage.,"Semi-structured 'Glucose: 188 mg/dL' aligns exactly with target. Label, value, and unit fully consistent. Clean FHIR mapping.",0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0003,MIMIC/eICU demo,mimic-obs-0003,MIMIC-IV (demo-equivalent),labevents,Observation,concise_clinical,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Input abbreviation Na correctly maps to Sodium in target.,none,1,0,0,4,0,Na abbreviation correctly expands to Sodium in target FHIR with matching value/unit,none,1,0,0,4,0,"'Na' is the standard clinical abbreviation for Sodium; expansion to 'Sodium' in code.text is faithful. Value 134 and unit mEq/L match. UCUM code 'meq/L' is a lowercase variant of the input unit, which is acceptable normalization.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,4,4,none,none,keep,keep,"Abbreviation ""Na"" correctly maps to ""Sodium"" in target; value and unit are preserved accurately.",Na correctly expands to Sodium. Value 134 and unit mEq/L match. UCUM meq/L lowercase variant is acceptable normalization.,0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0004,MIMIC/eICU demo,mimic-obs-0003,MIMIC-IV (demo-equivalent),labevents,Observation,semi_structured,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,5,0,Explicit Sodium label aligns fully with FHIR Observation details,none,1,0,0,5,0,'Sodium: 134 mEq/L' maps directly to the target. No ambiguity; label expansion and values are correct.,none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,5,none,none,keep,keep,Explicit measurement label fully matches target; no missing or unsupported content.,"Sodium: 134 mEq/L maps directly to target. Label expansion correct, value and unit exact. No ambiguity.",0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0005,MIMIC/eICU demo,eicu-obs-0006,eICU-CRD (demo-equivalent),vitalperiodic,Observation,concise_clinical,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Input abbreviation HR correctly maps to Heart Rate in target.,none,1,0,0,4,0,Standard HR shorthand faithfully represented as Heart Rate in FHIR,none,1,0,0,4,0,"'HR' expands correctly to 'Heart Rate'. Value 118 and display unit 'bpm' match input; UCUM code '/min' is the standard equivalent of bpm and is an accepted normalization, not an unsupported addition.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,4,4,none,none,keep,keep,"HR correctly expands to ""Heart Rate"" in target; unit is clinically standard; no quality issues.",HR expands to Heart Rate. Value 118 and display unit bpm match. UCUM /min normalization is standard equivalent of bpm. No unsupported additions.,0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0006,MIMIC/eICU demo,eicu-obs-0006,eICU-CRD (demo-equivalent),vitalperiodic,Observation,semi_structured,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,5,0,Clear Heart Rate label matches target FHIR structure and value,none,1,0,0,5,0,"'Heart Rate: 118 bpm' aligns exactly with the target label, value, and display unit. UCUM '/min' normalization is appropriate.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,5,none,none,keep,keep,Full measurement label aligns perfectly with target; natural and faithful with no errors.,Heart Rate: 118 bpm aligns exactly with target. UCUM /min normalization appropriate. Clean semi-structured form.,0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0007,MIMIC/eICU demo,eicu-obs-0007,eICU-CRD (demo-equivalent),vitalperiodic,Observation,concise_clinical,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Input abbreviation SBP correctly maps to Systolic BP in target.,none,1,0,0,4,0,SBP clinical shorthand correctly maps to Systolic BP FHIR Observation,none,1,0,0,4,0,'SBP' correctly expands to 'Systolic BP'. Value 86 and unit mmHg match; UCUM 'mm[Hg]' is the standard representation of mmHg. All core information preserved.,none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,4,4,none,none,keep,keep,"SBP maps to ""Systolic BP"" correctly; unit and value are consistent with input.",SBP correctly expands to Systolic BP. Value 86 and unit mmHg match. UCUM mm[Hg] is standard representation. All core info preserved.,0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0008,MIMIC/eICU demo,eicu-obs-0007,eICU-CRD (demo-equivalent),vitalperiodic,Observation,semi_structured,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,5,0,Explicit Systolic BP input aligns precisely with target JSON,none,1,0,0,5,0,"'Systolic BP: 86 mmHg' maps directly to the target. Label, value, and unit are fully aligned with appropriate UCUM normalization.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,5,none,none,keep,keep,Explicit label matches target exactly; no context leakage or unsupported facts.,"Systolic BP: 86 mmHg maps directly to target with appropriate UCUM normalization. Label, value, unit fully aligned.",0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0009,MIMIC/eICU demo,eicu-obs-0009,eICU-CRD (demo-equivalent),vitalperiodic,Observation,concise_clinical,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Input abbreviation Temp correctly maps to Temperature in target.,none,1,0,0,4,0,Temp abbreviation expands appropriately to Temperature FHIR resource,none,1,0,0,4,0,'Temp' is a standard clinical abbreviation for Temperature. Value 38.4 and unit 'C' match; UCUM code 'Cel' is the correct standard representation of Celsius.,none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,4,4,none,none,keep,keep,"Temp correctly corresponds to ""Temperature"" in target; natural and fully faithful.",Temp correctly expands to Temperature. Value 38.4 and unit C match; UCUM Cel is correct standard representation. Concise format natural.,0,no,False,keep,no,No disagreement detected.,,
demo-mimic-eicu-pair-0010,MIMIC/eICU demo,eicu-obs-0009,eICU-CRD (demo-equivalent),vitalperiodic,Observation,semi_structured,True,demo_equivalent,maybe_later,demo-only fallback from maybe_later Observation row; code kept text-only or minimal and subject/encounter references were omitted because the snippet does not resolve them.,1,0,0,5,0,Perfect alignment between input and target.,none,1,0,0,5,0,Labeled Temperature input fully supported by target FHIR JSON,none,1,0,0,5,0,"'Temperature: 38.4 C' maps cleanly to the target. No ambiguity; label, value, and unit are fully consistent with UCUM 'Cel' normalization.",none,,,,,,,zl,reviewer2,1,1,0,0,0,0,0,0,5,5,none,none,keep,keep,Full measurement label is clear; input and target are perfectly aligned with no omissions.,Temperature: 38.4 C aligns cleanly with target. UCUM Cel normalization appropriate. Fully consistent.,0,no,False,keep,no,No disagreement detected.,,
