pair_id,dataset_name,resource_type,input_style,Sonnet4.6_faithfulness,Sonnet4.6_unsupported_fact,Sonnet4.6_omission,Sonnet4.6_naturalness,Sonnet4.6_context_leakage,Sonnet4.6_flag_type,Sonnet4.6_short_rationale,Gemini_faithfulness,Gemini_unsupported_fact,Gemini_omission,Gemini_naturalness,Gemini_context_leakage,Gemini_flag_type,Gemini_short_rationale,Gork4.20_faithfulness,Gork4.20_unsupported_fact,Gork4.20_omission,Gork4.20_naturalness,Gork4.20_context_leakage,Gork4.20_flag_type,Gork4.20_short_rationale,anomaly_bucket,why_flagged,reviewer_1_name,reviewer_2_name,reviewer_1_faithfulness,reviewer_2_faithfulness,reviewer_1_unsupported_fact,reviewer_2_unsupported_fact,reviewer_1_omission,reviewer_2_omission,reviewer_1_context_leakage,reviewer_2_context_leakage,reviewer_1_naturalness,reviewer_2_naturalness,reviewer_1_flag_type,reviewer_2_flag_type,reviewer_1_decision,reviewer_2_decision,reviewer_1_comments,reviewer_2_comments,binary_disagreement_count,decision_disagreement,disposition_only_disagreement,merged_decision,adjudication_needed,disagreement_summary,final_decision,final_notes
official-pair-003,Official,Patient,concise_clinical,1,1,0,4,1,context_leakage,"Core clinical facts (active, female, birthDate 1966-04-04, identifier 999999999) are faithfully mapped. However, deceasedBoolean=false is an unsupported assertion not derivable from the input, and the identifier assigner 'Boston Massachesetts General Hospital' has no basis in the input. The name 'Annie Proband' appears in the narrative div but is absent from both the input and the structured name field, indicating leaked external context.",0,0,1,4,0,possible_omission,The input omits the specific identifier assigner (Boston Massachusetts General Hospital) and type (COSTAR).,1,0,0,4,0,none,"Accurately captures active, gender, birthDate, and identifier from structured fields. Name only appears in narrative. Conservative on extra target details. Natural clinical style.",possible_target_enrichment_or_context_leakage,Sonnet flagged unsupported facts; Sonnet flagged context leakage; Gemini flagged omission,zl,reviewer2,1,0,1,1,0,0,1,1,3,4,context_leakage,context_leakage,revise,drop,"Adds deceasedBoolean, hospital name, and patient name not in input.","Target contains deceasedBoolean=false which is not in input. Name ""Annie Proband"" in narrative div not in input. Assigner ""Boston Massachusetts General Hospital"" not supported by input. Core demographics faithful but these additions constitute unsupported context.",1,yes,False,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; naturalness 3 vs 4; decision revise vs drop.,,
official-pair-004,Official,Patient,semi_structured,1,1,0,4,1,context_leakage,"All four stated fields (gender, birth date, identifier, active) are correctly mapped. Same issues as the concise counterpart: deceasedBoolean=false and the identifier assigner are unsupported, and the name 'Annie Proband' in the narrative div is not sourced from the input, indicating external context leakage.",0,0,1,3,0,possible_omission,The input omits the specific identifier assigner and type present in the target.,1,0,0,3,0,none,Semi-structured format clearly lists all core clinical facts present in target. No contradictions or leakage.,possible_target_enrichment_or_context_leakage,Sonnet flagged unsupported facts; Sonnet flagged context leakage; Gemini flagged omission,zl,reviewer2,1,0,1,1,0,0,1,1,3,3,context_leakage,context_leakage,revise,drop,Same unsupported fields and context leakage as concise variant.,"Semi-structured format lists all input fields correctly but target adds deceasedBoolean=false, name ""Annie Proband"", and assigner ""Boston Massachesetts General Hospital"" (note typo). These unsupported facts and context leakage warrant dropping.",1,yes,False,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,,
official-pair-005,Official,Patient,concise_clinical,1,1,0,3,0,possible_hallucination,"Gender (male) and birth date (2017-09-05) are correctly mapped. However, the FHIR contains multiple unsupported clinical facts with no basis in the sparse input: mother's maiden name 'Everywoman', multipleBirthInteger=2, and a specific birth time extension. The input is too minimal to naturally convey these details.",0,0,1,4,0,possible_omission,"The input omits significant clinical details including the mother's maiden name, multiple birth status, and specific birth time.",1,0,0,4,0,none,"Faithful to core gender and birthDate. Does not invent unsupported extension data (multipleBirth, mother's name). Concise and natural. No leakage.",possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,0,1,1,0,0,0,0,3,3,possible_hallucination,possible_hallucination,revise,drop,"Invents mother’s name, multiple birth, and birth time.","Input only states male birth date 2017-09-05. Target adds multipleBirthInteger=2, mothersMaidenName=""Everywoman"", birthTime extension, and specific time 2017-05-09T17:11:00. These are fabricated unsupported facts not derivable from sparse input.",1,yes,False,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,,
official-pair-006,Official,Patient,semi_structured,1,1,0,4,0,possible_hallucination,"Both stated fields (gender, birth date) are correctly mapped. The same unsupported facts as pair-005 are present: mother's maiden name 'Everywoman', multipleBirthInteger=2, and a birth time extension, none of which are derivable from the input.",0,0,1,3,0,possible_omission,"The input omits significant clinical details including the mother's maiden name, multiple birth status, and specific birth time.",1,0,0,3,0,none,Semi-structured format accurately represents available core patient data without hallucinating extensions. No leakage.,possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,0,1,1,0,0,0,0,3,3,possible_hallucination,possible_hallucination,revise,drop,Same hallucinated fields as concise variant.,"Same patient as pair-005 with identical hallucinations. Semi-structured format lists only gender and birth date which are faithful, but target includes extensive unsupported extensions.",1,yes,False,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,,
official-pair-007,Official,Observation,concise_clinical,1,1,0,2,0,awkward_input,"Status (final), observation type (body height), and value (66.89999999999999 in) are faithfully preserved. The floating-point representation of the value is clinically awkward. effectiveDateTime 1999-07-02 and subject reference Patient/example appear in the FHIR with no basis in the input.",0,0,1,4,0,possible_omission,The input omits the effective date and the subject reference for the observation.,1,0,0,4,0,none,"Concise clinical description faithfully captures final status, body height observation, and precise value/unit. Effective date omitted but not core to the value statement. Natural.",possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,1,1,0,0,0,0,0,2,3,awkward_input,awkward_input,revise,keep,Adds date and subject reference not in input; value is awkward.,Body height 66.89999999999999 in - floating point representation is awkward but value is technically correct. effectiveDateTime 1999-07-02 and subject Patient/example not in input but these are standard seed metadata. Keep for unit sensitivity review.,1,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; naturalness 2 vs 3; decision revise vs keep.,,
official-pair-009,Official,Observation,concise_clinical,1,1,0,4,0,possible_hallucination,"Status (final), observation type (body temperature), and value (36.5 C) are faithfully mapped. effectiveDateTime 1999-07-02 is a specific temporal assertion appearing in the FHIR with no basis in the input, making it an unsupported fact.",0,0,1,4,0,possible_omission,The input omits the effective date and the subject reference for the observation.,1,0,0,4,0,none,Clean concise clinical statement of final body temperature with value and unit. Faithful to core observation. Natural style.,possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,1,1,0,0,0,0,0,4,4,possible_hallucination,none,revise,keep,Adds unsupported effective date and subject reference.,"Body temperature 36.5 C with unit Cel. Value and unit exact. effectiveDateTime and subject in target are seed metadata, not input additions. Concise clinical format natural.",1,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,,
official-pair-011,Official,Observation,concise_clinical,1,1,0,4,0,possible_hallucination,"Status (final), observation type (heart rate), and value (44 beats/minute) are faithfully mapped. effectiveDateTime 1999-07-02 and subject reference appear in the FHIR with no basis in the input.",0,0,1,4,0,possible_omission,The input omits the effective date and the subject reference for the observation.,1,0,0,4,0,none,Faithful concise clinical description of final heart rate with value and unit. Matches core observation elements without adding unsupported details.,possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,1,1,0,0,0,0,0,4,4,possible_hallucination,none,revise,keep,Adds unsupported date and subject reference.,Heart rate 44 beats/minute. Value 44 and unit preserved correctly (UCUM /min standard). effectiveDateTime and subject are seed metadata. Natural concise description.,1,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,,
official-pair-013,Official,Observation,concise_clinical,1,1,0,4,0,possible_hallucination,"Status (final), observation type (respiratory rate), and value (26 breaths/minute) are faithfully mapped. effectiveDateTime 1999-07-02 and subject reference appear in the FHIR with no basis in the input.",0,0,1,4,0,possible_omission,The input omits the effective date and the subject reference for the observation.,1,0,0,4,0,none,Clean concise clinical statement for final respiratory rate observation with appropriate unit. Faithful to target content.,possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,1,1,0,0,0,0,0,4,4,possible_hallucination,none,revise,keep,Adds unsupported date and subject reference.,Respiratory rate 26 breaths/minute. Value and unit exact. Unit normalization appropriate. Concise clinical statement natural and faithful.,1,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,,
official-pair-015,Official,Observation,concise_clinical,1,1,0,4,0,possible_hallucination,"Status (final), observation type (mean blood pressure), and value (80 mm[Hg]) are faithfully mapped. effectiveDateTime 1999-07-02 and subject reference appear in the FHIR with no basis in the input.",0,0,1,4,0,possible_omission,The input omits the effective date and the subject reference for the observation.,1,0,0,4,0,none,Concise clinical phrasing accurately represents final mean blood pressure with correct unit notation. No unsupported facts introduced.,possible_target_enrichment_or_unsupported_fact,Sonnet flagged unsupported facts; Gemini flagged omission,zl,reviewer2,1,1,1,0,0,0,0,0,4,4,possible_hallucination,none,revise,keep,Adds unsupported date and subject reference.,Mean blood pressure 80 mm[Hg]. Unit notation mm[Hg] matches input mmHg. UCUM representation standard. Value preserved. Concise format appropriate.,1,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,,
official-pair-017,Official,Observation,concise_clinical,1,1,0,4,1,possible_hallucination,"Status (final), glucose observation type, and value (6.3 mmol/l) are faithfully mapped. The FHIR contains extensive unsupported content absent from the input: a specific effective period timestamp, internal identifier 6323, interpretation High, issued timestamp, performer A. Langeveld, reference range, and named subject P. van de Heuvel. The named subject and performer constitute context leakage from an external source.",0,0,1,4,0,possible_omission,"The input omits significant clinical details including the effective time, issued time, subject, performer, interpretation, and reference range.",1,0,1,3,0,possible_omission,"Captures final status, glucose value and unit but omits key clinical context present in target (high interpretation, reference range). Conservative on omission of core clinical qualifiers.",possible_target_enrichment_or_context_leakage,Sonnet flagged unsupported facts; Sonnet flagged context leakage; Gemini flagged omission; Gork4.20 flagged omission,zl,reviewer2,1,1,1,0,0,1,1,0,3,3,context_leakage,possible_omission,revise,revise,"Adds interpretation, reference range, performer, and subject.","Glucose 6.3 mmol/l value and unit correct. However interpretation ""High"", performer A. Langeveld, referenceRange, subject P. van de Heuvel, issued timestamp, identifier 6323 are in target but not in concise input. Omission of these clinically significant elements (especially interpretation) warrants revision.",3,no,False,revise,no,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; context_leakage 1 vs 0; flag_type context_leakage vs possible_omission.,,
