dataset,pair_id_or_candidate_id,final_status,governance_bucket,source_status,skip_reason
official,official-pair-003,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-004,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-005,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-006,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-007,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-009,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-011,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-013,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-015,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-017,use_after_revision,use_after_revision,,not_promoted_official_revision_has_context_leakage_or_omission_risk
official,official-pair-018,use_after_revision,use_after_revision,,not_promoted_official_revision_has_context_leakage_or_omission_risk
official,official-pair-019,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-021,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-022,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-023,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
official,official-pair-024,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-off-002__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-off-004__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-off-004__semi_structured,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-002__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-002__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-003__shorthand_clinical_note,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-004__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-004__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-005__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-005__shorthand_clinical_note,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-006__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-006__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-007__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-007__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-008__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-008__shorthand_clinical_note,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-009__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-009__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-010__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-010__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-011__concise_clinical,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-011__shorthand_clinical_note,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-012__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-012__semi_structured,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-013__concise_clinical,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-013__semi_structured,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-014__concise_clinical,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-014__shorthand_clinical_note,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-016__brief_clinical_narrative,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-017__shorthand_clinical_note,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
gpt_expanded,gptx-syn-019__brief_clinical_narrative,exclude_for_now,exclude_for_now,,final_status_exclude_for_now_not_allowed
gpt_expanded,gptx-syn-020__shorthand_clinical_note,use_after_revision,use_after_revision,,not_promoted_gpt_expanded_revision_pending_adjudication
