pair_id,canonical_seed_id,source_origin,resource_type,input_style,flag_type,flag_reason,review_status,notes,reviewer_1_name,reviewer_2_name,reviewer_1_faithfulness,reviewer_2_faithfulness,reviewer_1_unsupported_fact,reviewer_2_unsupported_fact,reviewer_1_omission,reviewer_2_omission,reviewer_1_context_leakage,reviewer_2_context_leakage,reviewer_1_naturalness,reviewer_2_naturalness,reviewer_1_flag_type,reviewer_2_flag_type,reviewer_1_decision,reviewer_2_decision,reviewer_1_comments,reviewer_2_comments,binary_disagreement_count,decision_disagreement,disposition_only_disagreement,merged_decision,adjudication_needed,disagreement_summary,final_decision,final_notes
gptx-off-001__concise_clinical,gptx-off-001,official,Patient,concise_clinical,near_duplicate_variant,The Patient target is sparse enough that the two source-side variants may stay quite close.,flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from official_pilot12 seed official-pilot12-01.,Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,near_duplicate_variant,keep,keep,Patient pair is faithful. Core demographic fields are correctly represented without unsupported additions.,"Input and target are faithful. Concise clinical format correctly extracts name and identifier. Additional fields in target (meta, text) are non-essential metadata not required to be in input.",0,no,False,keep,no,Disagreement on flag_type none vs near_duplicate_variant.,,
gptx-off-001__semi_structured,gptx-off-001,official,Patient,semi_structured,near_duplicate_variant,The Patient target is sparse enough that the two source-side variants may stay quite close.,flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from official_pilot12 seed official-pilot12-01.,Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,near_duplicate_variant,keep,keep,Patient pair is faithful. Core demographic fields are correctly represented without unsupported additions.,Input explicitly states Active: true which matches target's active: true field. Faithful translation to semi-structured format.,0,no,False,keep,no,Disagreement on flag_type none vs near_duplicate_variant.,,
gptx-off-002__brief_clinical_narrative,gptx-off-002,official,Patient,brief_clinical_narrative,possible_omission,"The Patient target contains more structured fields than the compressed source-side rendering exposes, so omission should be reviewed.",flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from official_pilot12 seed official-pilot12-02.,Claude_Reviewer_1,reviewer2,1,1,0,0,1,0,0,0,4,4,possible_omission,possible_omission,revise,keep,Revise: remove unsupported identifier assigner (Boston Massachesetts General Hospital). Core demographic content is otherwise acceptable.,"Input captures core patient demographics (gender, birthDate, identifier, deceasedBoolean as ""not deceased""). Additional identifier metadata (assigner, system, type, use) are formatting details not required omission per guidance.",1,yes,False,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,,
gptx-off-003__concise_clinical,gptx-off-003,official,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from official_pilot12 seed official-pilot12-05.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,keep,keep,"Observation pair is faithful. Measurement identity, value, and unit are correctly represented with no unsupported additions.",Body temperature 36.5 C correctly preserved with exact value and unit Cel. No unsupported content. Target-local without importing external context.,0,no,False,keep,no,Disagreement on flag_type none vs unit_sensitivity.,,
gptx-off-003__semi_structured,gptx-off-003,official,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from official_pilot12 seed official-pilot12-05.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,keep,keep,"Observation pair is faithful. Measurement identity, value, and unit are correctly represented with no unsupported additions.",Observation with exact numeric value 36.5 C and unit preserved. Semi-structured format faithfully represents target fields.,0,no,False,keep,no,Disagreement on flag_type none vs unit_sensitivity.,,
gptx-off-004__brief_clinical_narrative,gptx-off-004,official,Observation,brief_clinical_narrative,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from official_pilot12 seed official-pilot12-09.",Claude_Reviewer_1,reviewer2,1,1,1,0,0,0,1,0,3,4,context_leakage,context_leakage,revise,keep,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.","Glucose 6.3 mmol/l with interpretation High correctly rendered. Reference range, performer, subject in target are seed data, not imported context. Target remains self-contained.",2,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,,
gptx-off-004__brief_clinical_narrative,gptx-off-004,official,Observation,brief_clinical_narrative,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from official_pilot12 seed official-pilot12-09.",Claude_Reviewer_1,reviewer2,1,1,1,0,0,0,1,0,3,4,context_leakage,unit_sensitivity,revise,keep,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.",Same as row 7 - unit mmol/l and value 6.3 correctly preserved. Unit sensitivity flag confirmed.,2,yes,False,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,,
gptx-off-004__semi_structured,gptx-off-004,official,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from official_pilot12 seed official-pilot12-09.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.",Glucose observation with exact value and unit preserved in semi-structured format. No unit conversion issues.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-off-006__brief_clinical_narrative,gptx-off-006,official,Condition,brief_clinical_narrative,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Condition expression stays limited to the explicit diagnosis text, status fields, onset or abatement, and explicit severity when present; no duration, treatment, or hidden context is added. Imported target remains unchanged from official_pilot12 seed official-pilot12-12.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,0,3,4,context_leakage,context_leakage,keep,keep,Condition pair is faithful. Diagnosis coding is correctly represented and no unsupported clinical details are present.,"Asthma with Mild severity and onset information correctly captured. verificationStatus ""confirmed"" vs input ""confirmed"" - slight difference but clinically consistent. No duration or treatment added.",1,no,False,keep,no,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4.,,
gptx-off-006__brief_clinical_narrative,gptx-off-006,official,Condition,brief_clinical_narrative,style_uncertainty,"Narrative Condition phrasing is still conservative, but it should be checked to ensure no implied duration or history slips in.",flagged_for_review,"Condition expression stays limited to the explicit diagnosis text, status fields, onset or abatement, and explicit severity when present; no duration, treatment, or hidden context is added. Imported target remains unchanged from official_pilot12 seed official-pilot12-12.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,3,3,style_uncertainty,style_uncertainty,keep,keep,Condition pair is faithful. Diagnosis coding is correctly represented and no unsupported clinical details are present.,"""Asthma is confirmed"" vs target clinicalStatus ""active"" with verificationStatus ""confirmed"" - phrasing nuance. May warrant style revision for consistency but not a core error.",0,no,False,keep,no,No disagreement detected.,,
