pair_id,resource_type,input_style,flag_type,source_origin,reviewer_1_decision,reviewer_2_decision,disagreement_summary,reviewer_1_comments,reviewer_2_comments,final_decision,final_notes
gptx-off-002__brief_clinical_narrative,Patient,brief_clinical_narrative,possible_omission,official,revise,keep,Disagreement on omission 1 vs 0; decision revise vs keep.,Revise: remove unsupported identifier assigner (Boston Massachesetts General Hospital). Core demographic content is otherwise acceptable.,"Input captures core patient demographics (gender, birthDate, identifier, deceasedBoolean as ""not deceased""). Additional identifier metadata (assigner, system, type, use) are formatting details not required omission per guidance.",,
gptx-off-004__brief_clinical_narrative,Observation,brief_clinical_narrative,context_leakage,official,revise,keep,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.","Glucose 6.3 mmol/l with interpretation High correctly rendered. Reference range, performer, subject in target are seed data, not imported context. Target remains self-contained.",,
gptx-off-004__brief_clinical_narrative,Observation,brief_clinical_narrative,unit_sensitivity,official,revise,keep,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.",Same as row 7 - unit mmol/l and value 6.3 correctly preserved. Unit sensitivity flag confirmed.,,
gptx-off-004__semi_structured,Observation,semi_structured,unit_sensitivity,official,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,"Pair needs revision: unsupported referenceRange, performer present in FHIR target not grounded in input. Remove before retention.",Glucose observation with exact value and unit preserved in semi-structured format. No unit conversion issues.,,
gptx-syn-002__brief_clinical_narrative,Patient,brief_clinical_narrative,near_duplicate_variant,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Patient demographics (name, gender, birthDate, maritalStatus) all explicitly present in input and correctly in target. Extended fields in target are seed data.",,
gptx-syn-002__brief_clinical_narrative,Patient,brief_clinical_narrative,possible_omission,synthea,revise,keep,Disagreement on omission 1 vs 0; decision revise vs keep.,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Same patient data - input explicitly includes marital status. All core demographics faithful. Extended fields are from seed, not model inference.",,
gptx-syn-002__concise_clinical,Patient,concise_clinical,near_duplicate_variant,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Input includes ""Marital status: Married"" explicitly - maritalStatus in target is supported. Concise format is somewhat choppy (comma usage) but captures all stated facts.",,
gptx-syn-003__shorthand_clinical_note,Patient,shorthand_clinical_note,possible_omission,synthea,revise,keep,Disagreement on omission 1 vs 0; decision revise vs keep.,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Patient data (name, sex, dob, marital, deceased) all present in input. Shorthand format captures core facts. Additional target fields are seed data.",,
gptx-syn-004__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Alkaline phosphatase 129.36 U/L with exact value and unit preserved. No context imported.,,
gptx-syn-004__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same observation in semi-structured format. Value and unit exact match. Faithful translation.,,
gptx-syn-005__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,"Respiratory rate 12 /min with exact value. Unit ""/"" is dimensionless. No unit conversion needed. Target contains encounter reference not in input but seed unchanged per notes.",,
gptx-syn-005__shorthand_clinical_note,Observation,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same observation in shorthand format. Performer in target not in input but present in seed. No new context imported per notes.,,
gptx-syn-005__shorthand_clinical_note,Observation,shorthand_clinical_note,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same shorthand entry. Unit preserved. No unit sensitivity issue apparent in this specific pair.,,
gptx-syn-006__brief_clinical_narrative,Observation,brief_clinical_narrative,context_leakage,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Body Weight 85.9 kg correctly rendered. Performer in target not in input but from seed. Target remains self-contained per notes.,,
gptx-syn-006__brief_clinical_narrative,Observation,brief_clinical_narrative,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same body weight entry. Value kg preserved. Unit sensitivity confirmed for this type.,,
gptx-syn-006__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Body weight in semi-structured format. Value and unit exact match.,,
gptx-syn-007__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Albumin 4.1117 g/dL with exact value preserved. Laboratory observation correctly formatted.,,
gptx-syn-007__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same albumin observation in semi-structured format. Faithful translation.,,
gptx-syn-008__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,MCH 29.994 pg correctly preserved. Unit exact.,,
gptx-syn-008__shorthand_clinical_note,Observation,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Shorthand format same observation. Performer in target not in input but from seed per notes. No new context imported.,,
gptx-syn-008__shorthand_clinical_note,Observation,shorthand_clinical_note,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same shorthand entry. Unit preserved without conversion.,,
gptx-syn-009__brief_clinical_narrative,Observation,brief_clinical_narrative,context_leakage,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,pH 5.5205 correctly captured. pH is dimensionless quantity. Encounter reference in target not in input but from seed.,,
gptx-syn-009__brief_clinical_narrative,Observation,brief_clinical_narrative,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same pH entry. Value and unit (pH scale) preserved.,,
gptx-syn-009__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,pH observation in semi-structured format. Value exact. No unit conversion for pH.,,
gptx-syn-010__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Chloride 108.89 mmol/L correctly preserved with exact value and unit.,,
gptx-syn-010__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same chloride in semi-structured format. Unit mmol/L exact.,,
