dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
official,official-pair-017,revise,revise,revise,no,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; context_leakage 1 vs 0; flag_type context_leakage vs possible_omission.,use_after_revision,revise,Official policy: conserve for targeted revision/adjudication before any broader use. Final decision carried from merged_decision=revise.
official,official-pair-018,revise,revise,revise,no,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; context_leakage 1 vs 0; flag_type context_leakage vs possible_omission.,use_after_revision,revise,Official policy: conserve for targeted revision/adjudication before any broader use. Final decision carried from merged_decision=revise.
nhanes,NHANES-P15-01-concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
nhanes,NHANES-P15-01-semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
nhanes,NHANES-P15-04-concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
nhanes,NHANES-P15-04-semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
nhanes,NHANES-P15-05-concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
nhanes,NHANES-P15-05-semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,NHANES policy: pending row is repairable and should be resolved in targeted adjudication. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-002__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-002__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-004__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-004__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
