dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
official,official-pair-003,revise,drop,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; naturalness 3 vs 4; decision revise vs drop.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-004,revise,drop,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-005,revise,drop,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-006,revise,drop,pending_adjudication,yes,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-007,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; naturalness 2 vs 3; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-009,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-011,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-013,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-015,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-019,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs none; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-021,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-022,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-023,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
official,official-pair-024,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,exclude_for_now,,Official policy: unresolved unsupported or leakage concerns keep this row out of training for now. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-off-002__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-off-004__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-off-004__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on unsupported_fact 1 vs 0; context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-off-004__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
