pair_id,dataset_name,resource_type,input_style,reviewer_1_decision,reviewer_2_decision,disagreement_summary,reviewer_1_comments,reviewer_2_comments,final_decision,final_notes
official-pair-003,Official,Patient,concise_clinical,revise,drop,Disagreement on faithfulness 1 vs 0; naturalness 3 vs 4; decision revise vs drop.,"Adds deceasedBoolean, hospital name, and patient name not in input.","Target contains deceasedBoolean=false which is not in input. Name ""Annie Proband"" in narrative div not in input. Assigner ""Boston Massachusetts General Hospital"" not supported by input. Core demographics faithful but these additions constitute unsupported context.",,
official-pair-004,Official,Patient,semi_structured,revise,drop,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,Same unsupported fields and context leakage as concise variant.,"Semi-structured format lists all input fields correctly but target adds deceasedBoolean=false, name ""Annie Proband"", and assigner ""Boston Massachesetts General Hospital"" (note typo). These unsupported facts and context leakage warrant dropping.",,
official-pair-005,Official,Patient,concise_clinical,revise,drop,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,"Invents mother’s name, multiple birth, and birth time.","Input only states male birth date 2017-09-05. Target adds multipleBirthInteger=2, mothersMaidenName=""Everywoman"", birthTime extension, and specific time 2017-05-09T17:11:00. These are fabricated unsupported facts not derivable from sparse input.",,
official-pair-006,Official,Patient,semi_structured,revise,drop,Disagreement on faithfulness 1 vs 0; decision revise vs drop.,Same hallucinated fields as concise variant.,"Same patient as pair-005 with identical hallucinations. Semi-structured format lists only gender and birth date which are faithful, but target includes extensive unsupported extensions.",,
official-pair-007,Official,Observation,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; naturalness 2 vs 3; decision revise vs keep.,Adds date and subject reference not in input; value is awkward.,Body height 66.89999999999999 in - floating point representation is awkward but value is technically correct. effectiveDateTime 1999-07-02 and subject Patient/example not in input but these are standard seed metadata. Keep for unit sensitivity review.,,
official-pair-009,Official,Observation,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,Adds unsupported effective date and subject reference.,"Body temperature 36.5 C with unit Cel. Value and unit exact. effectiveDateTime and subject in target are seed metadata, not input additions. Concise clinical format natural.",,
official-pair-011,Official,Observation,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,Adds unsupported date and subject reference.,Heart rate 44 beats/minute. Value 44 and unit preserved correctly (UCUM /min standard). effectiveDateTime and subject are seed metadata. Natural concise description.,,
official-pair-013,Official,Observation,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,Adds unsupported date and subject reference.,Respiratory rate 26 breaths/minute. Value and unit exact. Unit normalization appropriate. Concise clinical statement natural and faithful.,,
official-pair-015,Official,Observation,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; flag_type possible_hallucination vs none; decision revise vs keep.,Adds unsupported date and subject reference.,Mean blood pressure 80 mm[Hg]. Unit notation mm[Hg] matches input mmHg. UCUM representation standard. Value preserved. Concise format appropriate.,,
official-pair-019,Official,Condition,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs none; decision revise vs keep.,Adds unsupported onset date.,Ischemic stroke with active/confirmed status. onsetDateTime 2010-07-18 not in concise input but target category and code are correct. Conservative on onsetDateTime as it may be reasonable inference. Keep with note on onset.,,
official-pair-021,Official,Condition,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,Adds unsupported severity and onset date.,Burn of ear with left external ear body site faithful. However severity=Severe and onsetDateTime 2012-05-24 not in input. These are clinically significant but sparse input may not preclude severity inference. Conservative keep.,,
official-pair-022,Official,Condition,semi_structured,revise,keep,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,Adds unsupported severity despite input including onset.,"Semi-structured input lists all explicit fields (body site, clinical status, verification, onset date). Target adds severity=Severe not in input. Conservative scoring since semi-structured format explicitly lists inputs and target additions are clinically plausible.",,
official-pair-023,Official,Condition,concise_clinical,revise,keep,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,Adds unsupported severity and onset date.,Active confirmed asthma. severity=Mild and onsetString approximately November 2012 not in concise input. Target additions clinically plausible but not supported by input. Conservative keep.,,
official-pair-024,Official,Condition,semi_structured,revise,keep,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; flag_type possible_hallucination vs possible_omission; decision revise vs keep.,Same unsupported severity and onset.,Semi-structured Asthma with clinical/verification status listed. Target adds severity=Mild and onsetString not in input. Conservative scoring - these omissions are notable but semi-structured format may have capacity constraints.,,
